SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:AD:2C,2020-07-11 15:31:00.300530,fe47f6f2-c3ac-11ea-ba09-dca63233ad2b,1,1,1,-58
1,DC:A6:32:33:AD:2C,2020-07-11 15:31:01.028870,fe47f6f2-c3ac-11ea-ba09-dca63233ad2b,1,1,1,-58
2,DC:A6:32:33:AD:2C,2020-07-11 15:31:02.240090,fe47f6f2-c3ac-11ea-ba09-dca63233ad2b,1,1,1,-59
3,DC:A6:32:33:AD:2C,2020-07-11 15:31:03.038739,fe47f6f2-c3ac-11ea-ba09-dca63233ad2b,1,1,1,-59
4,DC:A6:32:33:AD:2C,2020-07-11 15:31:04.308890,fe47f6f2-c3ac-11ea-ba09-dca63233ad2b,1,1,1,-56
5,DC:A6:32:33:AD:2C,2020-07-11 15:31:05.264475,fe47f6f2-c3ac-11ea-ba09-dca63233ad2b,1,1,1,-60
6,DC:A6:32:33:AD:2C,2020-07-11 15:31:06.147532,fe47f6f2-c3ac-11ea-ba09-dca63233ad2b,1,1,1,-56
7,DC:A6:32:33:AD:2C,2020-07-11 15:31:07.372541,fe47f6f2-c3ac-11ea-ba09-dca63233ad2b,1,1,1,-57
8,DC:A6:32:33:AD:2C,2020-07-11 15:31:08.029990,fe47f6f2-c3ac-11ea-ba09-dca63233ad2b,1,1,1,-59
9,DC:A6:32:33:AD:2C,2020-07-11 15:31:09.310682,fe47f6f2-c3ac-11ea-ba09-dca63233ad2b,1,1,1,-57
10,DC:A6:32:33:AD:2C,2020-07-11 15:31:10.576302,fe47f6f2-c3ac-11ea-ba09-dca63233ad2b,1,1,1,-56
11,DC:A6:32:33:AD:2C,2020-07-11 15:31:11.121324,fe47f6f2-c3ac-11ea-ba09-dca63233ad2b,1,1,1,-58
12,DC:A6:32:33:AD:2C,2020-07-11 15:31:12.010096,fe47f6f2-c3ac-11ea-ba09-dca63233ad2b,1,1,1,-56
13,DC:A6:32:33:AD:2C,2020-07-11 15:31:13.061278,fe47f6f2-c3ac-11ea-ba09-dca63233ad2b,1,1,1,-59
14,DC:A6:32:33:AD:2C,2020-07-11 15:31:15.066360,fe47f6f2-c3ac-11ea-ba09-dca63233ad2b,1,1,1,-56
15,DC:A6:32:33:AD:2C,2020-07-11 15:31:16.068803,fe47f6f2-c3ac-11ea-ba09-dca63233ad2b,1,1,1,-59
16,DC:A6:32:33:AD:2C,2020-07-11 15:31:17.192690,fe47f6f2-c3ac-11ea-ba09-dca63233ad2b,1,1,1,-56
17,DC:A6:32:33:AD:2C,2020-07-11 15:31:19.197585,fe47f6f2-c3ac-11ea-ba09-dca63233ad2b,1,1,1,-56
18,DC:A6:32:33:AD:2C,2020-07-11 15:31:20.230144,fe47f6f2-c3ac-11ea-ba09-dca63233ad2b,1,1,1,-59
19,DC:A6:32:33:AD:2C,2020-07-11 15:31:21.060682,fe47f6f2-c3ac-11ea-ba09-dca63233ad2b,1,1,1,-55
20,DC:A6:32:33:AD:2C,2020-07-11 15:31:22.258903,fe47f6f2-c3ac-11ea-ba09-dca63233ad2b,1,1,1,-58
21,DC:A6:32:33:AD:2C,2020-07-11 15:31:23.238878,fe47f6f2-c3ac-11ea-ba09-dca63233ad2b,1,1,1,-57
22,DC:A6:32:33:AD:2C,2020-07-11 15:31:24.363857,fe47f6f2-c3ac-11ea-ba09-dca63233ad2b,1,1,1,-59
23,DC:A6:32:33:AD:2C,2020-07-11 15:31:25.186497,fe47f6f2-c3ac-11ea-ba09-dca63233ad2b,1,1,1,-58
24,DC:A6:32:33:AD:2C,2020-07-11 15:31:26.015195,fe47f6f2-c3ac-11ea-ba09-dca63233ad2b,1,1,1,-59
25,DC:A6:32:33:AD:2C,2020-07-11 15:31:27.032667,fe47f6f2-c3ac-11ea-ba09-dca63233ad2b,1,1,1,-59
26,DC:A6:32:33:AD:2C,2020-07-11 15:31:28.189028,fe47f6f2-c3ac-11ea-ba09-dca63233ad2b,1,1,1,-56
27,DC:A6:32:33:AD:2C,2020-07-11 15:31:29.041413,fe47f6f2-c3ac-11ea-ba09-dca63233ad2b,1,1,1,-57
28,DC:A6:32:33:AD:2C,2020-07-11 15:31:30.136473,fe47f6f2-c3ac-11ea-ba09-dca63233ad2b,1,1,1,-57
29,DC:A6:32:33:AD:2C,2020-07-11 15:31:31.019004,fe47f6f2-c3ac-11ea-ba09-dca63233ad2b,1,1,1,-57
30,DC:A6:32:33:AD:2C,2020-07-11 15:31:32.018975,fe47f6f2-c3ac-11ea-ba09-dca63233ad2b,1,1,1,-56
31,DC:A6:32:33:AD:2C,2020-07-11 15:31:33.200218,fe47f6f2-c3ac-11ea-ba09-dca63233ad2b,1,1,1,-56
32,DC:A6:32:33:AD:2C,2020-07-11 15:31:34.257737,fe47f6f2-c3ac-11ea-ba09-dca63233ad2b,1,1,1,-55
33,DC:A6:32:33:AD:2C,2020-07-11 15:31:35.081565,fe47f6f2-c3ac-11ea-ba09-dca63233ad2b,1,1,1,-55
34,DC:A6:32:33:AD:2C,2020-07-11 15:31:36.117716,fe47f6f2-c3ac-11ea-ba09-dca63233ad2b,1,1,1,-59
35,DC:A6:32:33:AD:2C,2020-07-11 15:31:37.012750,fe47f6f2-c3ac-11ea-ba09-dca63233ad2b,1,1,1,-59
36,DC:A6:32:33:AD:2C,2020-07-11 15:31:38.017801,fe47f6f2-c3ac-11ea-ba09-dca63233ad2b,1,1,1,-55
37,DC:A6:32:33:AD:2C,2020-07-11 15:31:39.689044,fe47f6f2-c3ac-11ea-ba09-dca63233ad2b,1,1,1,-55
38,DC:A6:32:33:AD:2C,2020-07-11 15:31:40.020268,fe47f6f2-c3ac-11ea-ba09-dca63233ad2b,1,1,1,-57
39,DC:A6:32:33:AD:2C,2020-07-11 15:31:41.020243,fe47f6f2-c3ac-11ea-ba09-dca63233ad2b,1,1,1,-55
40,DC:A6:32:33:AD:2C,2020-07-11 15:31:42.124611,fe47f6f2-c3ac-11ea-ba09-dca63233ad2b,1,1,1,-57
41,DC:A6:32:33:AD:2C,2020-07-11 15:31:43.046581,fe47f6f2-c3ac-11ea-ba09-dca63233ad2b,1,1,1,-55
42,DC:A6:32:33:AD:2C,2020-07-11 15:31:44.109626,fe47f6f2-c3ac-11ea-ba09-dca63233ad2b,1,1,1,-58
43,DC:A6:32:33:AD:2C,2020-07-11 15:31:45.077781,fe47f6f2-c3ac-11ea-ba09-dca63233ad2b,1,1,1,-57
44,DC:A6:32:33:AD:2C,2020-07-11 15:31:46.086610,fe47f6f2-c3ac-11ea-ba09-dca63233ad2b,1,1,1,-57
45,DC:A6:32:33:AD:2C,2020-07-11 15:31:47.066543,fe47f6f2-c3ac-11ea-ba09-dca63233ad2b,1,1,1,-57
46,DC:A6:32:33:AD:2C,2020-07-11 15:31:48.096514,fe47f6f2-c3ac-11ea-ba09-dca63233ad2b,1,1,1,-60
47,DC:A6:32:33:AD:2C,2020-07-11 15:31:49.097776,fe47f6f2-c3ac-11ea-ba09-dca63233ad2b,1,1,1,-56
48,DC:A6:32:33:AD:2C,2020-07-11 15:31:50.552860,fe47f6f2-c3ac-11ea-ba09-dca63233ad2b,1,1,1,-56
49,DC:A6:32:33:AD:2C,2020-07-11 15:31:51.046566,fe47f6f2-c3ac-11ea-ba09-dca63233ad2b,1,1,1,-57
50,DC:A6:32:33:AD:2C,2020-07-11 15:31:53.051691,fe47f6f2-c3ac-11ea-ba09-dca63233ad2b,1,1,1,-59
51,DC:A6:32:33:AD:2C,2020-07-11 15:31:54.047884,fe47f6f2-c3ac-11ea-ba09-dca63233ad2b,1,1,1,-57
52,DC:A6:32:33:AD:2C,2020-07-11 15:31:55.026020,fe47f6f2-c3ac-11ea-ba09-dca63233ad2b,1,1,1,-57
53,DC:A6:32:33:AD:2C,2020-07-11 15:31:56.027853,fe47f6f2-c3ac-11ea-ba09-dca63233ad2b,1,1,1,-59
54,DC:A6:32:33:AD:2C,2020-07-11 15:31:57.117843,fe47f6f2-c3ac-11ea-ba09-dca63233ad2b,1,1,1,-56
55,DC:A6:32:33:AD:2C,2020-07-11 15:31:58.121686,fe47f6f2-c3ac-11ea-ba09-dca63233ad2b,1,1,1,-56
56,DC:A6:32:33:AD:2C,2020-07-11 15:31:59.312967,fe47f6f2-c3ac-11ea-ba09-dca63233ad2b,1,1,1,-56
