SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:AD:2C,2020-07-12 10:37:54.186685,924721e4-c44c-11ea-994e-dca63233ad2b,1,1,1,-59
1,DC:A6:32:33:AD:2C,2020-07-12 10:37:55.055245,924721e4-c44c-11ea-994e-dca63233ad2b,1,1,1,-47
2,DC:A6:32:33:AD:2C,2020-07-12 10:37:56.192658,924721e4-c44c-11ea-994e-dca63233ad2b,1,1,1,-46
3,DC:A6:32:33:AD:2C,2020-07-12 10:37:57.205219,924721e4-c44c-11ea-994e-dca63233ad2b,1,1,1,-48
4,DC:A6:32:33:AD:2C,2020-07-12 10:37:58.058851,924721e4-c44c-11ea-994e-dca63233ad2b,1,1,1,-46
5,DC:A6:32:33:AD:2C,2020-07-12 10:37:59.187056,924721e4-c44c-11ea-994e-dca63233ad2b,1,1,1,-60
6,DC:A6:32:33:AD:2C,2020-07-12 10:38:00.068911,924721e4-c44c-11ea-994e-dca63233ad2b,1,1,1,-47
7,DC:A6:32:33:AD:2C,2020-07-12 10:38:01.049503,924721e4-c44c-11ea-994e-dca63233ad2b,1,1,1,-46
8,DC:A6:32:33:AD:2C,2020-07-12 10:38:02.330737,924721e4-c44c-11ea-994e-dca63233ad2b,1,1,1,-47
9,DC:A6:32:33:AD:2C,2020-07-12 10:38:03.305793,924721e4-c44c-11ea-994e-dca63233ad2b,1,1,1,-47
10,DC:A6:32:33:AD:2C,2020-07-12 10:38:04.083923,924721e4-c44c-11ea-994e-dca63233ad2b,1,1,1,-49
11,DC:A6:32:33:AD:2C,2020-07-12 10:38:05.217025,924721e4-c44c-11ea-994e-dca63233ad2b,1,1,1,-59
12,DC:A6:32:33:AD:2C,2020-07-12 10:38:06.175748,924721e4-c44c-11ea-994e-dca63233ad2b,1,1,1,-45
13,DC:A6:32:33:AD:2C,2020-07-12 10:38:07.028832,924721e4-c44c-11ea-994e-dca63233ad2b,1,1,1,-47
14,DC:A6:32:33:AD:2C,2020-07-12 10:38:08.121384,924721e4-c44c-11ea-994e-dca63233ad2b,1,1,1,-45
15,DC:A6:32:33:AD:2C,2020-07-12 10:38:09.007714,924721e4-c44c-11ea-994e-dca63233ad2b,1,1,1,-45
16,DC:A6:32:33:AD:2C,2020-07-12 10:38:10.145140,924721e4-c44c-11ea-994e-dca63233ad2b,1,1,1,-46
17,DC:A6:32:33:AD:2C,2020-07-12 10:38:11.298854,924721e4-c44c-11ea-994e-dca63233ad2b,1,1,1,-60
18,DC:A6:32:33:AD:2C,2020-07-12 10:38:12.395895,924721e4-c44c-11ea-994e-dca63233ad2b,1,1,1,-48
19,DC:A6:32:33:AD:2C,2020-07-12 10:38:13.225158,924721e4-c44c-11ea-994e-dca63233ad2b,1,1,1,-49
20,DC:A6:32:33:AD:2C,2020-07-12 10:38:14.350280,924721e4-c44c-11ea-994e-dca63233ad2b,1,1,1,-56
21,DC:A6:32:33:AD:2C,2020-07-12 10:38:15.145221,924721e4-c44c-11ea-994e-dca63233ad2b,1,1,1,-58
22,DC:A6:32:33:AD:2C,2020-07-12 10:38:16.010092,924721e4-c44c-11ea-994e-dca63233ad2b,1,1,1,-58
23,DC:A6:32:33:AD:2C,2020-07-12 10:38:17.579477,924721e4-c44c-11ea-994e-dca63233ad2b,1,1,1,-45
24,DC:A6:32:33:AD:2C,2020-07-12 10:38:18.191330,924721e4-c44c-11ea-994e-dca63233ad2b,1,1,1,-34
25,DC:A6:32:33:AD:2C,2020-07-12 10:38:20.196496,924721e4-c44c-11ea-994e-dca63233ad2b,1,1,1,-46
26,DC:A6:32:33:AD:2C,2020-07-12 10:38:21.228986,924721e4-c44c-11ea-994e-dca63233ad2b,1,1,1,-46
27,DC:A6:32:33:AD:2C,2020-07-12 10:38:22.035282,924721e4-c44c-11ea-994e-dca63233ad2b,1,1,1,-48
28,DC:A6:32:33:AD:2C,2020-07-12 10:38:23.141513,924721e4-c44c-11ea-994e-dca63233ad2b,1,1,1,-49
29,DC:A6:32:33:AD:2C,2020-07-12 10:38:24.054121,924721e4-c44c-11ea-994e-dca63233ad2b,1,1,1,-59
30,DC:A6:32:33:AD:2C,2020-07-12 10:38:25.336099,924721e4-c44c-11ea-994e-dca63233ad2b,1,1,1,-47
31,DC:A6:32:33:AD:2C,2020-07-12 10:38:26.253076,924721e4-c44c-11ea-994e-dca63233ad2b,1,1,1,-61
32,DC:A6:32:33:AD:2C,2020-07-12 10:38:27.160742,924721e4-c44c-11ea-994e-dca63233ad2b,1,1,1,-49
33,DC:A6:32:33:AD:2C,2020-07-12 10:38:28.041992,924721e4-c44c-11ea-994e-dca63233ad2b,1,1,1,-48
34,DC:A6:32:33:AD:2C,2020-07-12 10:38:29.191529,924721e4-c44c-11ea-994e-dca63233ad2b,1,1,1,-48
35,DC:A6:32:33:AD:2C,2020-07-12 10:38:30.285328,924721e4-c44c-11ea-994e-dca63233ad2b,1,1,1,-60
36,DC:A6:32:33:AD:2C,2020-07-12 10:38:32.083622,924721e4-c44c-11ea-994e-dca63233ad2b,1,1,1,-49
37,DC:A6:32:33:AD:2C,2020-07-12 10:38:33.055040,924721e4-c44c-11ea-994e-dca63233ad2b,1,1,1,-48
38,DC:A6:32:33:AD:2C,2020-07-12 10:38:34.132651,924721e4-c44c-11ea-994e-dca63233ad2b,1,1,1,-45
39,DC:A6:32:33:AD:2C,2020-07-12 10:38:35.925294,924721e4-c44c-11ea-994e-dca63233ad2b,1,1,1,-47
40,DC:A6:32:33:AD:2C,2020-07-12 10:38:36.025192,924721e4-c44c-11ea-994e-dca63233ad2b,1,1,1,-46
41,DC:A6:32:33:AD:2C,2020-07-12 10:38:37.384164,924721e4-c44c-11ea-994e-dca63233ad2b,1,1,1,-59
42,DC:A6:32:33:AD:2C,2020-07-12 10:38:38.122909,924721e4-c44c-11ea-994e-dca63233ad2b,1,1,1,-45
43,DC:A6:32:33:AD:2C,2020-07-12 10:38:39.225516,924721e4-c44c-11ea-994e-dca63233ad2b,1,1,1,-60
44,DC:A6:32:33:AD:2C,2020-07-12 10:38:40.320656,924721e4-c44c-11ea-994e-dca63233ad2b,1,1,1,-47
45,DC:A6:32:33:AD:2C,2020-07-12 10:38:41.042485,924721e4-c44c-11ea-994e-dca63233ad2b,1,1,1,-47
46,DC:A6:32:33:AD:2C,2020-07-12 10:38:42.057643,924721e4-c44c-11ea-994e-dca63233ad2b,1,1,1,-47
47,DC:A6:32:33:AD:2C,2020-07-12 10:38:43.035811,924721e4-c44c-11ea-994e-dca63233ad2b,1,1,1,-45
48,DC:A6:32:33:AD:2C,2020-07-12 10:38:44.893581,924721e4-c44c-11ea-994e-dca63233ad2b,1,1,1,-61
49,DC:A6:32:33:AD:2C,2020-07-12 10:38:45.057210,924721e4-c44c-11ea-994e-dca63233ad2b,1,1,1,-46
50,DC:A6:32:33:AD:2C,2020-07-12 10:38:47.062501,924721e4-c44c-11ea-994e-dca63233ad2b,1,1,1,-46
51,DC:A6:32:33:AD:2C,2020-07-12 10:38:48.049967,924721e4-c44c-11ea-994e-dca63233ad2b,1,1,1,-50
52,DC:A6:32:33:AD:2C,2020-07-12 10:38:49.747650,924721e4-c44c-11ea-994e-dca63233ad2b,1,1,1,-46
53,DC:A6:32:33:AD:2C,2020-07-12 10:38:50.035082,924721e4-c44c-11ea-994e-dca63233ad2b,1,1,1,-59
54,DC:A6:32:33:AD:2C,2020-07-12 10:38:51.751518,924721e4-c44c-11ea-994e-dca63233ad2b,1,1,1,-45
55,DC:A6:32:33:AD:2C,2020-07-12 10:38:52.033975,924721e4-c44c-11ea-994e-dca63233ad2b,1,1,1,-45
56,DC:A6:32:33:AD:2C,2020-07-12 10:38:53.014100,924721e4-c44c-11ea-994e-dca63233ad2b,1,1,1,-45
