SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:AD:2C,2020-07-14 14:05:43.763455,a70fa0be-c5fb-11ea-8eef-dca63233ad2b,1,1,1,-54
1,DC:A6:32:33:AD:2C,2020-07-14 14:05:44.017743,a70fa0be-c5fb-11ea-8eef-dca63233ad2b,1,1,1,-54
2,DC:A6:32:33:AD:2C,2020-07-14 14:05:45.159320,a70fa0be-c5fb-11ea-8eef-dca63233ad2b,1,1,1,-53
3,DC:A6:32:33:AD:2C,2020-07-14 14:05:46.080603,a70fa0be-c5fb-11ea-8eef-dca63233ad2b,1,1,1,-60
4,DC:A6:32:33:AD:2C,2020-07-14 14:05:47.664272,a70fa0be-c5fb-11ea-8eef-dca63233ad2b,1,1,1,-61
5,DC:A6:32:33:AD:2C,2020-07-14 14:05:48.150718,a70fa0be-c5fb-11ea-8eef-dca63233ad2b,1,1,1,-60
6,DC:A6:32:33:AD:2C,2020-07-14 14:05:49.314287,a70fa0be-c5fb-11ea-8eef-dca63233ad2b,1,1,1,-60
7,DC:A6:32:33:AD:2C,2020-07-14 14:05:50.089281,a70fa0be-c5fb-11ea-8eef-dca63233ad2b,1,1,1,-61
8,DC:A6:32:33:AD:2C,2020-07-14 14:05:51.579274,a70fa0be-c5fb-11ea-8eef-dca63233ad2b,1,1,1,-61
9,DC:A6:32:33:AD:2C,2020-07-14 14:05:52.008115,a70fa0be-c5fb-11ea-8eef-dca63233ad2b,1,1,1,-53
10,DC:A6:32:33:AD:2C,2020-07-14 14:05:53.230695,a70fa0be-c5fb-11ea-8eef-dca63233ad2b,1,1,1,-60
11,DC:A6:32:33:AD:2C,2020-07-14 14:05:54.008110,a70fa0be-c5fb-11ea-8eef-dca63233ad2b,1,1,1,-60
12,DC:A6:32:33:AD:2C,2020-07-14 14:05:55.172466,a70fa0be-c5fb-11ea-8eef-dca63233ad2b,1,1,1,-62
13,DC:A6:32:33:AD:2C,2020-07-14 14:05:56.034295,a70fa0be-c5fb-11ea-8eef-dca63233ad2b,1,1,1,-52
14,DC:A6:32:33:AD:2C,2020-07-14 14:05:58.039395,a70fa0be-c5fb-11ea-8eef-dca63233ad2b,1,1,1,-53
15,DC:A6:32:33:AD:2C,2020-07-14 14:05:59.098165,a70fa0be-c5fb-11ea-8eef-dca63233ad2b,1,1,1,-62
16,DC:A6:32:33:AD:2C,2020-07-14 14:06:00.294386,a70fa0be-c5fb-11ea-8eef-dca63233ad2b,1,1,1,-63
17,DC:A6:32:33:AD:2C,2020-07-14 14:06:01.161177,a70fa0be-c5fb-11ea-8eef-dca63233ad2b,1,1,1,-63
18,DC:A6:32:33:AD:2C,2020-07-14 14:06:02.024310,a70fa0be-c5fb-11ea-8eef-dca63233ad2b,1,1,1,-60
19,DC:A6:32:33:AD:2C,2020-07-14 14:06:03.039315,a70fa0be-c5fb-11ea-8eef-dca63233ad2b,1,1,1,-60
20,DC:A6:32:33:AD:2C,2020-07-14 14:06:04.826934,a70fa0be-c5fb-11ea-8eef-dca63233ad2b,1,1,1,-53
21,DC:A6:32:33:AD:2C,2020-07-14 14:06:05.013068,a70fa0be-c5fb-11ea-8eef-dca63233ad2b,1,1,1,-53
22,DC:A6:32:33:AD:2C,2020-07-14 14:06:06.336881,a70fa0be-c5fb-11ea-8eef-dca63233ad2b,1,1,1,-63
23,DC:A6:32:33:AD:2C,2020-07-14 14:06:07.040606,a70fa0be-c5fb-11ea-8eef-dca63233ad2b,1,1,1,-52
